Text: содержащий, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: лекарственного, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: средства, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: ане, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: к, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: добавлять, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: лекарственное, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: вирусным, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: частицам, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: при, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: этом, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: все, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: остальные, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: условия, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: должны, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: остаться, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: неизменными, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: утверждать, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: что, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: тестируемый, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: препарат, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: апо, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: он, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: не, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: разру, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: все, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: ет, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: все, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: разрушает, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: вирусные, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: частицы, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: можно, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: так, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: видно, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: что, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: на, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: после, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: выселения, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: препарата, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: можно, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: т.к., Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: видно,, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: что, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: на, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: после, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: высления, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
Text: препарата,, Number: 24, Confidence: 0.51, Bbox: [10.45557975769043, 2108.6455078125, 2251.587646484375, 2589.640625]
