Text: Это, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: позволяет, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: им, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: защищаться, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: сборка, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: вируса, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: от, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: действия, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: лег, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: препарата, Number: 23, Confidence: 0.30, Bbox: [5.1472673416137695, 30.137907028198242, 2303.070068359375, 2590.0]
Text: так, Number: 23, Confidence: 0.30, Bbox: [5.1472673416137695, 30.137907028198242, 2303.070068359375, 2590.0]
Text: вирус, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: прош, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: происходит, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: находился, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: в, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: платке, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: и, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: препарат, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: на, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: него, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: не, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: действует, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: отжует, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: действует, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: слабо, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: апсид, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: -с, Number: 23, Confidence: 0.30, Bbox: [5.1472673416137695, 30.137907028198242, 2303.070068359375, 2590.0]
Text: У, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: вируса, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: есть, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: белковая, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: оболочка, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: какой, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: защищающая, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: его, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: от, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: действия, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: лек, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: препаратов, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: от, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: действия, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: лек, Number: 24, Confidence: 0.31, Bbox: [5.815406799316406, 28.663307189941406, 2298.625, 2579.25927734375]
Text: препаратов, Number: 23, Confidence: 0.30, Bbox: [5.1472673416137695, 30.137907028198242, 2303.070068359375, 2590.0]
