Text: начала, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: отделяться, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: веерные, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: южная, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: америка, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: перикард, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: их, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: сохр, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: сохранилось, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: шень, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: ше, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: но, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: вс, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: не, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: они, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: есть, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: На, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: других, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
